model,seed,split,year,n,positives,prevalence,AP,Brier,ECE,ROC_AUC,top10_recall,top10_precision
Persistence,42,test,2024,1679,39,0.023228111971411555,0.08486529704996919,0.023958104213548513,0.012977320577546017,0.6086772983114447,0.23076923076923078,0.05357142857142857
Persistence,42,test,2025,1882,29,0.015409139213602551,0.17610456195919047,0.015557850271668786,0.012524874128226306,0.7502558758397381,0.7586206896551724,0.1164021164021164
Persistence,42,test,2026,1656,1,0.0006038647342995169,0.2,0.0012759553128602308,0.013369397924836988,0.9987915407854985,1.0,0.006024096385542169
Persistence,42,spatial_test,2020,85,0,0.0,,0.00014413525893797362,0.01200563446628183,,,0.0
Persistence,42,spatial_test,2021,288,16,0.05555555555555555,0.09627525252525251,0.057607349763183255,0.0485241814728374,0.5790441176470589,0.25,0.13793103448275862
Persistence,42,spatial_test,2022,26,2,0.07692307692307693,0.07692307692307693,0.07522019149489462,0.0649174424567951,0.5,0.0,0.0
Persistence,42,spatial_test,2023,35,4,0.11428571428571428,0.8,0.025635262620559804,0.02976424497970601,0.9838709677419355,1.0,1.0
Persistence,42,spatial_test,2024,394,15,0.03807106598984772,0.11797330325249107,0.04087771466682121,0.03155379465886678,0.6495162708883025,0.3333333333333333,0.125
Persistence,42,spatial_test,2025,378,7,0.018518518518518517,0.38888888888888884,0.011415267770826925,0.003925903359307799,0.7830188679245284,0.7142857142857143,0.13157894736842105
Persistence,42,spatial_test,2026,262,0,0.0,,0.0001441352589379736,0.012005634466281832,,,0.0
Logistic,42,test,2020,366,43,0.11748633879781421,0.7362383738051371,0.06339758235708096,0.058164892776037126,0.8963208294333644,0.6046511627906976,0.7027027027027027
Logistic,42,test,2021,1294,124,0.09582689335394126,0.37990830819771254,0.07042081734757173,0.02744246801444009,0.8441273779983456,0.4596774193548387,0.43846153846153846
Logistic,42,test,2022,63,6,0.09523809523809523,0.6746031746031745,0.04965106509974464,0.062176006427910775,0.9736842105263158,0.8333333333333334,0.7142857142857143
Logistic,42,test,2023,70,10,0.14285714285714285,0.5026850437144554,0.09970584324038158,0.0896925465705159,0.915,0.4,0.5714285714285714
Logistic,42,test,2024,1679,39,0.023228111971411555,0.29996970468587436,0.0190034908834204,0.00837938997683146,0.9492026266416511,0.8205128205128205,0.19047619047619047
Logistic,42,test,2025,1882,29,0.015409139213602551,0.1981582237985566,0.014468441226253249,0.007389152091839691,0.9475035822617563,0.896551724137931,0.13756613756613756
Logistic,42,test,2026,1656,1,0.0006038647342995169,0.125,0.0008868048320874167,0.005471295124608345,0.9957703927492447,1.0,0.006024096385542169
Logistic,42,spatial_test,2020,85,0,0.0,,0.0002545111846422547,0.009226370890896831,,,0.0
Logistic,42,spatial_test,2021,288,16,0.05555555555555555,0.24432917032639978,0.048289618219883784,0.02697021274462602,0.813189338235294,0.375,0.20689655172413793
Logistic,42,spatial_test,2022,26,2,0.07692307692307693,0.5833333333333333,0.048925499160081085,0.06523851617249428,0.9583333333333334,1.0,0.6666666666666666
Logistic,42,spatial_test,2023,35,4,0.11428571428571428,0.95,0.05079504855975773,0.07414750966205792,0.9919354838709677,0.75,0.75
Logistic,42,spatial_test,2024,394,15,0.03807106598984772,0.35045314406877515,0.02749991325724114,0.015552386560839569,0.9618293755496922,0.9333333333333333,0.35
Logistic,42,spatial_test,2025,378,7,0.018518518518518517,0.685481885061717,0.010643312546941544,0.006228771330394319,0.9849826723142087,1.0,0.18421052631578946
Logistic,42,spatial_test,2026,262,0,0.0,,5.886825183263633e-05,0.003696699635245063,,,0.0
RandomForest,42,test,2020,366,43,0.11748633879781421,0.672519632622718,0.06863563362671028,0.06147294540787467,0.8738570091439268,0.5813953488372093,0.6756756756756757
RandomForest,42,test,2021,1294,124,0.09582689335394126,0.4157025847588838,0.07068386207189645,0.03486039391700638,0.8346429556106976,0.4838709677419355,0.46153846153846156
RandomForest,42,test,2022,63,6,0.09523809523809523,0.6746031746031745,0.03518092865937938,0.05438655561087956,0.9736842105263158,0.8333333333333334,0.7142857142857143
RandomForest,42,test,2023,70,10,0.14285714285714285,0.5128532526984539,0.09264533792042784,0.07282662854971819,0.9166666666666666,0.3,0.42857142857142855
RandomForest,42,test,2024,1679,39,0.023228111971411555,0.26748625793370645,0.021186997603630752,0.013353394600826888,0.9409631019387117,0.7948717948717948,0.18452380952380953
RandomForest,42,test,2025,1882,29,0.015409139213602551,0.21114567039379417,0.015764515391145834,0.01176707858213595,0.9648287027560154,0.9310344827586207,0.14285714285714285
RandomForest,42,test,2026,1656,1,0.0006038647342995169,0.3333333333333333,0.0015275377963554044,0.006903705537100109,0.9987915407854985,1.0,0.006024096385542169
RandomForest,42,spatial_test,2020,85,0,0.0,,0.001434523486848234,0.025451685904040743,,,0.0
RandomForest,42,spatial_test,2021,288,16,0.05555555555555555,0.21439700847880544,0.05638727601441282,0.035366857135155805,0.7233455882352942,0.375,0.20689655172413793
RandomForest,42,spatial_test,2022,26,2,0.07692307692307693,0.5,0.048953520258371123,0.07187821466732497,0.9375,0.5,0.3333333333333333
RandomForest,42,spatial_test,2023,35,4,0.11428571428571428,0.8875,0.044046269998225626,0.07242183041260744,0.9838709677419355,0.75,0.75
RandomForest,42,spatial_test,2024,394,15,0.03807106598984772,0.4482629757580239,0.03245234513828499,0.046682724828925076,0.9665787159190853,0.9333333333333333,0.35
RandomForest,42,spatial_test,2025,378,7,0.018518518518518517,0.68301936159079,0.012020539870708075,0.02492654276372929,0.986137851366962,1.0,0.18421052631578946
RandomForest,42,spatial_test,2026,262,0,0.0,,0.0002395018798316022,0.006375194854236432,,,0.0
HistGradientBoosting,42,test,2020,366,43,0.11748633879781421,0.6603197743083116,0.06764572718568529,0.059112040050754454,0.8669450644394845,0.6046511627906976,0.7027027027027027
HistGradientBoosting,42,test,2021,1294,124,0.09582689335394126,0.43876667284071147,0.0679297603738458,0.03124403809115351,0.8498070030328095,0.5080645161290323,0.4846153846153846
HistGradientBoosting,42,test,2022,63,6,0.09523809523809523,0.8734126984126983,0.02880081395770812,0.05219319468881061,0.9883040935672514,1.0,0.8571428571428571
HistGradientBoosting,42,test,2023,70,10,0.14285714285714285,0.6896189839572192,0.09076393801711996,0.10706982951290597,0.9333333333333333,0.4,0.5714285714285714
HistGradientBoosting,42,test,2024,1679,39,0.023228111971411555,0.29014421099574383,0.021311384003237288,0.016675456614889433,0.9444340212632896,0.717948717948718,0.16666666666666666
