source_row,site_number,sample_date,location,sample_number,sampler,depth,latitude,longitude,k_brevisulcata_cells_l,k_brevisulcata_reported_not_detected,k_mikimotoi_cells_l,k_mikimotoi_reported_not_detected,k_papilionacea_cells_l,k_papilionacea_reported_not_detected,k_longicanalis_cells_l,k_longicanalis_reported_not_detected,k_brevis_cells_l,k_brevis_reported_not_detected,k_cristata_cells_l,k_cristata_reported_not_detected,k_hui_cells_l,k_hui_reported_not_detected,karenia_total_cells_l,karenia_species_detected,k_cristata_detected,k_cristata_share,nearest_grid_latitude,nearest_grid_longitude,source_record,source_license
55,19,2025-08-03,Port Noarlunga Jetty*,TNCN 15,"Nikola Streiber, Phil Dunne, Anke-Maria Hoeffer, Neil MacDonald, C Ricci, T Spokes",Surface,-35.149,138.468,1213.398238,False,5624.815467,False,0.0,True,0.0,False,0.0,True,177575.309,False,0.0,True,184413.522705,3,True,0.9629191308495372,-35.125,138.375,https://doi.org/10.5281/zenodo.20227730,CC BY 4.0
56,20,2025-08-03,Seaford Beach*,TNCN 16,"Nikola Streiber, Phil Dunne, Anke-Maria Hoeffer, Neil MacDonald, C Ricci, T Spokes",Surface,-35.181,138.468,1834.718301,False,4997.046111,False,0.0,True,0.0,False,0.0,True,332007.9809,False,0.0,True,338839.74531200004,3,True,0.9798377713756413,-35.125,138.375,https://doi.org/10.5281/zenodo.20227730,CC BY 4.0
57,20,2025-08-03,Seaford Beach*,TNCN 17,"Nikola Streiber, Phil Dunne, Anke-Maria Hoeffer, Neil MacDonald, C Ricci, T Spokes",Surface,-35.181,138.468,2351.674642,False,8490.805711,False,0.0,True,0.0,False,0.0,True,535833.0658,False,0.0,True,546675.546153,3,True,0.9801665166307522,-35.125,138.375,https://doi.org/10.5281/zenodo.20227730,CC BY 4.0
58,20,2025-08-03,Seaford Beach*,TNCN 18,"Nikola Streiber, Phil Dunne, Anke-Maria Hoeffer, Neil MacDonald, C Ricci, T Spokes",Surface,-35.181,138.468,2957.010287,False,9208.614387,False,0.0,True,0.0,False,0.0,True,902459.032,False,0.0,True,914624.656674,3,True,0.9866987790180074,-35.125,138.375,https://doi.org/10.5281/zenodo.20227730,CC BY 4.0
59,24,2025-08-03,West Lakes*,AS W1-2,"Anastasiia Snigirova, Serhii Snihirov",Surface,-34.875,138.485,1745.019411,False,7203.497226,False,0.0,True,102.1592238,False,0.0,True,486060.201,False,0.0,True,495110.8768608,4,True,0.9817199009680723,-34.875,138.375,https://doi.org/10.5281/zenodo.20227730,CC BY 4.0
60,24,2025-08-03,West Lakes*,AS W2-2,"Anastasiia Snigirova, Serhii Snihirov",Surface,-34.875,138.485,3284.988291,False,24229.08469,False,0.0,True,61.38987182,False,0.0,True,1151367.079,False,0.0,True,1178942.54185282,4,True,0.9766100027152447,-34.875,138.375,https://doi.org/10.5281/zenodo.20227730,CC BY 4.0
61,24,2025-08-03,West Lakes*,AS W2-3,"Anastasiia Snigirova, Serhii Snihirov",Surface,-34.875,138.485,66.07586009,False,2151.548811,False,0.0,True,13.95116955,False,0.0,True,109532.3296,False,0.0,True,111763.90544064,4,True,0.9800331257945775,-34.875,138.375,https://doi.org/10.5281/zenodo.20227730,CC BY 4.0
62,25,2025-08-03,Port River*,AS PR2,"Anastasiia Snigirova, Serhii Snihirov",Surface,-34.77,138.514,181.4316483,False,2217.490386,False,0.0,True,44.24091882,False,0.0,True,72710.14109,False,0.0,True,75153.30404312,4,True,0.9674909442209193,-34.875,138.625,https://doi.org/10.5281/zenodo.20227730,CC BY 4.0
63,25,2025-08-03,Port River*,AS PR3,"Anastasiia Snigirova, Serhii Snihirov",Surface,-34.77,138.514,585.8452958,False,21815.84653,False,0.0,True,309.7314797,False,0.0,True,869069.8815,False,0.0,True,891781.3048055,4,True,0.9745325191466607,-34.875,138.625,https://doi.org/10.5281/zenodo.20227730,CC BY 4.0
64,25,2025-08-03,Port River*,PR 1,"Anastasiia Snigirova, Serhii Snihirov",Surface,-34.77,138.514,2644.551616,False,9921.541908,False,0.0,True,0.0,False,0.0,True,398755.3816,False,0.0,True,411321.47512400005,3,True,0.969449459160352,-34.875,138.625,https://doi.org/10.5281/zenodo.20227730,CC BY 4.0
