model,seed,split,year,n,positives,prevalence,AP,Brier,ECE,ROC_AUC,top10_recall,top10_precision
RandomForest,42,test,2022,52,9,0.17307692307692307,0.34378424415357167,0.14540588568962054,0.10095687014708339,0.669250645994832,0.2222222222222222,0.3333333333333333
RandomForest,42,test,2023,53,16,0.3018867924528302,0.5001686531285066,0.19988550520604967,0.08371770551640367,0.6199324324324325,0.1875,0.5
RandomForest,42,test,2024,52,18,0.34615384615384615,0.601226170656787,0.21006819657517217,0.08616766837762031,0.6862745098039216,0.2777777777777778,0.8333333333333334
RandomForest,42,test,2025,51,18,0.35294117647058826,0.6573285716023074,0.1924339774514645,0.1185839762164087,0.728956228956229,0.2777777777777778,0.8333333333333334
HistGradientBoosting,42,test,2020,52,10,0.19230769230769232,0.27538652212977494,0.15509502048214405,0.037195330935088346,0.6071428571428572,0.1,0.16666666666666666
HistGradientBoosting,42,test,2021,52,20,0.38461538461538464,0.6531174452115192,0.18419999200158804,0.08633464991651517,0.7671875,0.15,0.5
HistGradientBoosting,42,test,2022,52,9,0.17307692307692307,0.4617702726980585,0.14421927826005687,0.15778385915304874,0.6304909560723515,0.4444444444444444,0.6666666666666666
HistGradientBoosting,42,test,2023,53,16,0.3018867924528302,0.4840806135444768,0.2051336427753218,0.08004734952674984,0.5760135135135135,0.25,0.6666666666666666
HistGradientBoosting,42,test,2024,52,18,0.34615384615384615,0.5670626326769922,0.2051822310303616,0.06777649640352504,0.6748366013071896,0.2222222222222222,0.6666666666666666
HistGradientBoosting,42,test,2025,51,18,0.35294117647058826,0.7067458954083045,0.18646896662173273,0.07852973654037072,0.7575757575757575,0.2777777777777778,0.8333333333333334
EcoTemporalNet,42,test,2020,52,10,0.19230769230769232,0.45205511615115634,0.14367762823750727,0.09625169060435237,0.6523809523809524,0.3,0.5
EcoTemporalNet,42,test,2021,52,20,0.38461538461538464,0.8541005121899086,0.13383313938884467,0.17090270684242886,0.8921875,0.25,0.8333333333333334
EcoTemporalNet,42,test,2022,52,9,0.17307692307692307,0.4968633669853182,0.11808296581043368,0.11437599799270466,0.7416020671834626,0.4444444444444444,0.6666666666666666
EcoTemporalNet,42,test,2023,53,16,0.3018867924528302,0.5623051505239993,0.1840970987903316,0.12570912635258952,0.6638513513513514,0.25,0.6666666666666666
EcoTemporalNet,42,test,2024,52,18,0.34615384615384615,0.6592042794221968,0.19379404975211442,0.13939320974853653,0.7630718954248366,0.2777777777777778,0.8333333333333334
EcoTemporalNet,42,test,2025,51,18,0.35294117647058826,0.6581806436798823,0.19534072553294232,0.09398900336610085,0.7306397306397306,0.2777777777777778,0.8333333333333334
EcoFusion,42,test,2020,52,10,0.19230769230769232,0.45205511615115634,0.1436776302193838,0.09625169035134015,0.6523809523809524,0.3,0.5
EcoFusion,42,test,2021,52,20,0.38461538461538464,0.8541005121899086,0.1338331375446828,0.1709027046242094,0.8921875,0.25,0.8333333333333334
EcoFusion,42,test,2022,52,9,0.17307692307692307,0.4968633669853182,0.11808296559546358,0.11437599793128903,0.7416020671834626,0.4444444444444444,0.6666666666666666
EcoFusion,42,test,2023,53,16,0.3018867924528302,0.5623051505239993,0.1840970993001636,0.12570912439098417,0.6638513513513514,0.25,0.6666666666666666
EcoFusion,42,test,2024,52,18,0.34615384615384615,0.6592042794221968,0.19379404969659741,0.1393932095121574,0.7630718954248366,0.2777777777777778,0.8333333333333334
EcoFusion,42,test,2025,51,18,0.35294117647058826,0.6581806436798823,0.1953407255649656,0.09398900235856586,0.7306397306397306,0.2777777777777778,0.8333333333333334
Chronos,42,test,2020,52,10,0.19230769230769232,0.33562271062271065,0.1482384341228527,0.030373891449089696,0.5452380952380952,0.2,0.3333333333333333
Chronos,42,test,2021,52,20,0.38461538461538464,0.6195406694913275,0.19072954316663251,0.1253568495722084,0.77109375,0.2,0.6666666666666666
Chronos,42,test,2022,52,9,0.17307692307692307,0.3929789346456013,0.12794456910055277,0.12505530958988145,0.7364341085271318,0.3333333333333333,0.5
Chronos,42,test,2023,53,16,0.3018867924528302,0.4666953791775889,0.20294012807140957,0.05161133626173029,0.6241554054054054,0.1875,0.5
Chronos,42,test,2024,52,18,0.34615384615384615,0.4472606258903945,0.23143698223784107,0.09035056843824406,0.5294117647058824,0.16666666666666666,0.5
Chronos,42,test,2025,51,18,0.35294117647058826,0.44379052836510546,0.24109904259248968,0.14878318239467186,0.44612794612794604,0.16666666666666666,0.5
Chronos+EcoFusion,42,test,2020,52,10,0.19230769230769232,0.45205511615115634,0.1436776302193838,0.09625169035134015,0.6523809523809524,0.3,0.5
Chronos+EcoFusion,42,test,2021,52,20,0.38461538461538464,0.8541005121899086,0.1338331375446828,0.1709027046242094,0.8921875,0.25,0.8333333333333334
Chronos+EcoFusion,42,test,2022,52,9,0.17307692307692307,0.4968633669853182,0.11808296559546358,0.11437599793128903,0.7416020671834626,0.4444444444444444,0.6666666666666666
Chronos+EcoFusion,42,test,2023,53,16,0.3018867924528302,0.5623051505239993,0.1840970993001636,0.12570912439098417,0.6638513513513514,0.25,0.6666666666666666
Chronos+EcoFusion,42,test,2024,52,18,0.34615384615384615,0.6592042794221968,0.19379404969659741,0.1393932095121574,0.7630718954248366,0.2777777777777778,0.8333333333333334
Chronos+EcoFusion,42,test,2025,51,18,0.35294117647058826,0.6581806436798823,0.1953407255649656,0.09398900235856586,0.7306397306397306,0.2777777777777778,0.8333333333333334
EcoTemporalNet,42,missing20,0,312,91,0.2916666666666667,0.6209815885589142,0.16408513832171726,0.04398971460487999,0.7584903783998806,0.26373626373626374,0.75
EcoTemporalNet,42,noise01,0,312,91,0.2916666666666667,0.6193576851582101,0.16147749033123743,0.06119224713232181,0.763661677688827,0.2857142857142857,0.8125
